Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
WCHQ-AP-6W6        ABC-OFFICES  20:4c:03:b4:cd:4f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:36  10.11.3.242:8514  2021-08-04 08:28:25   1         Current    
d0:d3:e0:c1:f9:de  ABC-OFFICES  20:4c:03:b4:cf:77  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:de  10.11.3.201:8514  2021-08-04 08:27:39   1         Current    
d0:d3:e0:c1:f8:0e  ABC-OFFICES  20:4c:03:b4:cb:f2  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:0e  10.11.2.178:8514  2021-05-25 07:18:53   0         OutOfDate  
d0:d3:e0:c1:fb:d6  default      20:4c:03:b4:d0:15  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:d6  10.11.2.187:8514  2021-04-20 08:03:47   0         OutOfDate  
d0:d3:e0:c1:f8:ce  default      20:4c:03:b4:ce:2d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:ce  10.11.2.160:8514  2021-04-13 18:04:51   0         OutOfDate  
d0:d3:e0:c1:fa:7e  ABC-OFFICES  20:4c:03:b4:ce:45  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:7e  10.11.2.157:8514  2021-05-25 07:20:18   0         OutOfDate  
d0:d3:e0:c1:fa:06  ABC-OFFICES  20:4c:03:b4:cc:6f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:06  10.11.3.231:8514  2021-06-08 17:17:00   0         OutOfDate  
d0:d3:e0:c1:fc:7e  ABC-OFFICES  20:4c:03:b4:ce:f5  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:7e  10.11.3.58:8514   2021-08-04 08:27:52   1         Current    
d0:d3:e0:c1:fc:06  ABC-OFFICES  20:4c:03:b4:cc:19  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:06  10.11.3.56:8514   2021-08-04 08:28:16   1         Current    
d0:d3:e0:c1:fe:46  ABC-OFFICES  20:4c:03:b4:cb:f1  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:46  10.11.3.178:8514  2021-08-04 08:28:29   1         Current    
d0:d3:e0:c1:ff:7e  ABC-OFFICES  20:4c:03:b4:d0:69  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:7e  10.11.3.51:8514   2021-08-04 08:28:35   1         Current    
d0:d3:e0:c1:ff:ee  default      20:4c:03:b4:ce:82  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:ee  10.11.3.203:8514  2021-07-12 12:48:15   0         OutOfDate  
WCHQ-AP-6E1        ABC-OFFICES  20:4c:03:b4:cd:3f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:36  10.11.3.240:8514  2021-08-04 08:27:37   1         Current    
d0:d3:e0:c1:fd:d6  ABC-OFFICES  20:4c:03:b4:cc:0e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:d6  10.11.2.176:8514  2021-08-04 08:28:08   1         Current    
d0:d3:e0:c1:fd:76  ABC-OFFICES  20:4c:03:b4:ce:da  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:76  10.11.2.158:8514  2021-08-04 08:28:24   1         Current    
d0:d3:e0:c1:ff:be  ABC-OFFICES  20:4c:03:b4:cd:df  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:be  10.11.3.227:8514  2021-05-25 07:18:50   0         OutOfDate  
